#NAME?,IBOXX EURO CORPORATES - Tot. Rtn Idx Today
12/31/1998,100
1/29/1999,"101,689"
2/26/1999,"100,116"
3/31/1999,"100,597"
4/30/1999,"102,009"
5/31/1999,"100,99"
6/30/1999,"98,803"
7/30/1999,"97,201"
8/31/1999,"96,917"
9/30/1999,"96,532"
10/29/1999,"96,09"
11/30/1999,"96,791"
12/31/1999,"96,331"
1/31/2000,"95,762"
2/29/2000,"96,371"
3/31/2000,"97,814"
4/28/2000,"97,566"
5/31/2000,"97,305"
6/30/2000,"97,69"
7/31/2000,"98,179"
8/31/2000,"98,197"
9/29/2000,"99,154"
10/31/2000,"99,227"
11/30/2000,"100,553"
12/29/2000,"102,107"
1/31/2001,"103,508"
2/28/2001,"103,963"
3/30/2001,"104,782"
4/30/2001,"104,121"
5/31/2001,"104,901"
6/29/2001,"105,723"
7/31/2001,"107,4"
8/31/2001,"108,441"
9/28/2001,"107,429"
10/31/2001,"110,092"
11/30/2001,"110,272"
12/31/2001,"109,394"
1/31/2002,"109,834"
2/28/2002,"109,863"
3/29/2002,"109,41"
4/30/2002,"110,099"
5/31/2002,"110,345"
6/28/2002,"110,915"
7/31/2002,"111,778"
8/30/2002,"113,427"
9/30/2002,"115,076"
10/31/2002,"114,056"
11/29/2002,"115,867"
12/31/2002,"118,15"
1/31/2003,"119,582"
2/28/2003,"120,817"
3/31/2003,"120,703"
4/30/2003,"122,217"
5/30/2003,"124,775"
6/30/2003,"125,335"
7/31/2003,"124,17"
8/29/2003,"124,461"
9/30/2003,"126,564"
10/31/2003,"125,448"
11/28/2003,"125,361"
12/31/2003,"126,969"
1/30/2004,"127,514"
2/27/2004,"129,328"
3/31/2004,"130,683"
4/30/2004,"129,746"
5/31/2004,"129,363"
6/30/2004,"129,793"
7/30/2004,"130,973"
8/31/2004,"132,989"
9/30/2004,"133,629"
10/29/2004,"134,636"
11/30/2004,"136,143"
12/31/2004,"136,917"
1/31/2005,"138,441"
2/28/2005,"138,198"
3/31/2005,"138,072"
4/29/2005,"139,462"
5/31/2005,"140,833"
6/30/2005,"142,41"
7/29/2005,"142,083"
8/31/2005,"143,363"
9/30/2005,"143,274"
10/31/2005,"141,795"
11/30/2005,"141,683"
12/30/2005,"142,373"
1/31/2006,"141,803"
2/28/2006,"141,809"
3/31/2006,"140,252"
4/28/2006,"139,662"
5/31/2006,"140,118"
6/30/2006,"139,369"
7/31/2006,"140,9"
8/31/2006,"142,32"
9/29/2006,"142,86"
10/31/2006,"143,374"
11/30/2006,"144,246"
12/29/2006,"142,925"
1/31/2007,"142,963"
2/28/2007,"144,383"
3/30/2007,"143,918"
4/30/2007,"143,975"
5/31/2007,"142,882"
6/29/2007,"142,201"
7/31/2007,"142,54"
8/31/2007,"143,069"
9/28/2007,"142,97"
10/31/2007,"144,076"
11/30/2007,"143,236"
12/31/2007,"142,615"
1/31/2008,"144,712"
2/29/2008,"144,674"
