Name;BD BENCHMARK 10 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 30 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 2 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;REX GENERAL BOND - PRICE INDEX;TR GERMANY GVT ZERO 2Y - ZERO YIELD;BD BENCHMARK 10Y DS GVT. (IBOXX) - CLEAN PRICE INDEX;REX BOND SUB INDEX CURRENT 10 YRS - PRICE INDEX;TR GERMANY GVT BID YLD HIGH 10Y (E) - RED. YIELD;BD BENCHMARK 3 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 5 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED 5-7 - Cln Prc Indx Today;IBOXX EURO GERMANY 1-10 - Cln Prc Indx Today;BD TOTAL 3-5 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 7-10 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL ALL LIVES DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER OVER 10Y DS GOVT. INDEX - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD ALL MATS.(E) - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED - Cln Prc Indx Today;IBOXX EURO GERMANY 1-3 - Cln Prc Indx Today;IBOXX EURO GERMANY 3-5 - Cln Prc Indx Today;IBOXX EURO GERMANY 7-10 - Cln Prc Indx Today;IBOXX EURO GERMANY - Cln Prc Indx Today;REX BOND SUB INDEX CURRENT 3 YRS - PRICE INDEX;REX BOND SUB INDEX CURRENT 5 YRS - PRICE INDEX;REX BOND SUB INDEX CURRENT 7 YRS - PRICE INDEX;TR GERMANY GVT BID YLD LOW 10Y (E) - RED. YIELD;TR GERMANY GVT ZERO 1M - ZERO YIELD;TR GERMANY GVT ZERO 1Y - ZERO YIELD;TR GERMANY GVT ZERO 3M - ZERO YIELD;TR GERMANY GVT ZERO 9M - ZERO YIELD;BD BENCHMARK 20 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD BENCHMARK 7 YEAR DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 1-3 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL 5-7 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TOTAL OVER 10 YRS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 1-3 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 3-5 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 5-7 YEARS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER 7-10 YRS DS GOVT. INDEX - CLEAN PRICE INDEX;BD TRACKER ALL LIVES DS GOVT. INDEX - CLEAN PRICE INDEX;EB.REXX MONEY MARKET INDEX - PRICE INDEX;EXANE ECI GERMANY (CONVERTIBLE) - TOT RETURN IND;EXANE ECI GERMANY (UNDERLYING) - TOT RETURN IND;FTSE GLOBAL GOVT. BD 1-3Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 10+Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 3-5Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 5-7Y (E) - CLEAN PRICE INDEX;FTSE GLOBAL GOVT. BD 7-10Y(E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 1-3Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 3-5Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 5-7Y (E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD 7-10Y(E) - CLEAN PRICE INDEX;FTSE PFANDBRIEF BD ALL MATS.(E) - CLEAN PRICE INDEX;IBOXX EURO GERMANY COVERED CAPPED 1-3 - Cln Prc Indx Today;IBOXX EURO GERMANY COVERED CAPPED 3-5 - Cln Prc Indx Today;IBOXX EURO GERMANY COVERED CAPPED 7-10 - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 1-5 - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 10+ - Cln Prc Indx Today;IBOXX EURO SOVEREIGNS GERMANY CAPPED 5-10 - Cln Prc Indx Today;IBOXX EURO LIQUID GERMANY COVERED DIVERSIFIED - Cln Prc Indx Today;IBOXX EURO GERMANY 1-5 - Cln Prc Indx Today;IBOXX EURO GERMANY 10+ - Cln Prc Indx Today;IBOXX EURO GERMANY 5-10 - Cln Prc Indx Today;IBOXX EURO GERMANY 5-7 - Cln Prc Indx Today
12/30/88;100;NA;100;105,0341;NA;NA;104,3365;NA;100;100;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;103,735;105,2848;106,9144;NA;NA;NA;NA;NA;NA;100;100;100;100;100;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/2/89;99,645;NA;99,851;104,7089;NA;NA;104,0713;NA;99,847;99,697;NA;NA;99,859;99,775;99,829;99,733;NA;NA;NA;NA;NA;NA;103,8281;104,9756;106,2707;NA;NA;NA;NA;NA;NA;99,85;99,883;99,822;99,733;99,84;99,822;99,822;99,735;99,759;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/3/89;99,493;NA;99,802;104,6834;NA;NA;103,8872;NA;99,695;99,545;NA;NA;99,788;99,709;99,776;99,437;NA;NA;NA;NA;NA;NA;103,7643;104,9303;106,3149;NA;NA;NA;NA;NA;NA;99,95;99,842;99,825;99,437;99,788;99,709;99,825;99,629;99,667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/4/89;99,493;NA;99,802;104,6928;NA;NA;104,0086;NA;99,644;99,394;NA;NA;99,745;99,679;99,751;99,408;NA;NA;NA;NA;NA;NA;103,7399;104,9308;106,3194;NA;NA;NA;NA;NA;NA;99,799;99,798;99,877;99,408;99,731;99,626;99,877;99,642;99,638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/5/89;99,493;NA;99,802;104,6869;NA;NA;104,0636;NA;99,542;99,444;NA;NA;99,691;99,658;99,727;99,349;NA;NA;NA;NA;NA;NA;103,7125;104,9187;106,3136;NA;NA;NA;NA;NA;NA;99,749;99,774;99,898;99,349;99,716;99,576;99,898;99,629;99,631;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/6/89;99,341;NA;99,653;104,4048;NA;NA;103,7351;NA;99,339;99,242;NA;NA;99,443;99,365;99,488;99,26;NA;NA;NA;NA;NA;NA;103,5004;104,6057;105,9531;NA;NA;NA;NA;NA;NA;99,548;99,622;99,66;99,26;99,555;99,337;99,66;99,35;99,379;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/9/89;99,341;NA;99,603;104,2212;NA;NA;103,6254;NA;99,186;99,04;NA;NA;99,271;99,178;99,328;99,2;NA;NA;NA;NA;NA;NA;103,3492;104,4054;105,7118;NA;NA;NA;NA;NA;NA;99,398;99,518;99,491;99,2;99,462;99,158;99,491;99,218;99,23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/10/89;99,341;NA;99,603;104,1988;NA;NA;103,6203;NA;99,034;98,99;NA;NA;99,161;99,165;99,286;99,319;NA;NA;NA;NA;NA;NA;103,3061;104,3228;105,7085;NA;NA;NA;NA;NA;NA;99,248;99,497;99,454;99,319;99,437;99,04;99,454;99,219;99,213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/11/89;99,493;NA;99,653;104,2526;NA;NA;103,7321;NA;99,186;99,091;NA;NA;99,224;99,32;99,377;99,556;NA;NA;NA;NA;NA;NA;103,3382;104,3675;105,7684;NA;NA;NA;NA;NA;NA;99,348;99,546;99,504;99,556;99,506;99,134;99,504;99,375;99,358;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/12/89;99,493;NA;99,653;104,2589;NA;NA;103,7735;NA;99,186;99,04;NA;NA;99,216;99,338;99,377;99,556;NA;NA;NA;NA;NA;NA;103,3545;104,3466;105,7603;NA;NA;NA;NA;NA;NA;99,348;99,565;99,444;99,556;99,542;99,111;99,444;99,389;99,374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/13/89;99,493;NA;99,653;104,2915;NA;NA;103,7759;NA;99,288;99,141;NA;NA;99,251;99,42;99,422;99,704;NA;NA;NA;NA;NA;NA;103,3624;104,3709;105,8246;NA;NA;NA;NA;NA;NA;99,448;99,577;99,465;99,704;99,56;99,169;99,465;99,454;99,435;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/16/89;99,645;NA;99,702;104,4201;NA;NA;103,9893;NA;99,39;99,293;NA;NA;99,365;99,658;99,564;99,822;NA;NA;NA;NA;NA;NA;103,4154;104,5217;106,0053;NA;NA;NA;NA;NA;NA;99,699;99,605;99,609;99,822;99,605;99,308;99,608;99,665;99,622;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/17/89;99,392;NA;99,653;104,3005;NA;NA;103,7479;NA;99,237;99,141;NA;NA;99,28;99,424;99,426;99,674;NA;NA;NA;NA;NA;NA;103,3396;104,3913;105,8747;NA;NA;NA;NA;NA;NA;99,548;99,547;99,481;99,674;99,535;99,214;99,481;99,423;99,415;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/18/89;99,24;NA;99,504;104,1414;NA;NA;103,5256;NA;99,034;98,99;NA;NA;99,121;99,245;99,256;99,526;NA;NA;NA;NA;NA;NA;103,1951;104,2432;105,7131;NA;NA;NA;NA;NA;NA;99,398;99,377;99,313;99,526;99,374;99,054;99,313;99,253;99,243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/19/89;99,392;NA;99,554;104,2117;NA;NA;103,7288;NA;99,135;99,09;NA;NA;99,162;99,39;99,33;99,644;NA;NA;NA;NA;NA;NA;103,1805;104,3118;105,8241;NA;NA;NA;NA;NA;NA;99,548;99,371;99,402;99,644;99,37;99,119;99,402;99,399;99,349;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/20/89;99,493;NA;99,454;104,2614;NA;NA;103,831;NA;99,186;98,989;NA;NA;99,149;99,497;99,365;99,733;NA;NA;NA;NA;NA;NA;103,1356;104,3469;105,9392;NA;NA;NA;NA;NA;NA;99,648;99,328;99,471;99,733;99,323;99,091;99,471;99,504;99,42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/23/89;99,392;NA;99,454;104,2052;NA;NA;103,7275;NA;98,983;98,838;NA;NA;99,076;99,361;99,291;99,674;NA;NA;NA;NA;NA;NA;103,1321;104,2828;105,8458;NA;NA;NA;NA;NA;NA;99,498;99,336;99,409;99,674;99,328;98,962;99,409;99,366;99,306;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/24/89;99,544;NA;99,454;104,2347;NA;NA;103,9153;NA;99,135;98,888;NA;NA;99,107;99,49;99,338;99,792;NA;NA;NA;NA;NA;NA;103,1376;104,2789;105,8574;NA;NA;NA;NA;NA;NA;99,398;99,331;99,369;99,792;99,318;99,018;99,369;99,513;99,419;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/25/89;99,594;NA;99,454;104,1805;NA;NA;103,9233;NA;99,084;98,838;NA;NA;99,025;99,518;99,303;99,911;NA;NA;NA;NA;NA;NA;103,0946;104,1755;105,7749;NA;NA;NA;NA;NA;NA;99,398;99,293;99,268;99,911;99,271;98,975;99,268;99,549;99,423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/26/89;99,493;NA;99,405;104,1904;NA;NA;103,9652;NA;99,084;98,787;NA;NA;98,952;99,412;99,209;99,762;NA;NA;NA;NA;NA;NA;103,0709;104,1966;105,8044;NA;NA;NA;NA;NA;NA;99,297;99,23;99,116;99,762;99,218;98,923;99,116;99,454;99,342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/27/89;99,341;NA;99,256;103,9276;NA;NA;103,7189;NA;99,034;98,585;NA;NA;98,823;99,255;99,066;99,792;NA;NA;NA;NA;NA;NA;102,8662;103,8604;105,4623;NA;NA;NA;NA;NA;NA;99,147;99,114;98,93;99,792;99,073;98,79;98,93;99,312;99,194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/30/89;99,189;NA;99,107;103,9447;NA;NA;103,7533;NA;98,779;98,282;NA;NA;98,561;99,023;98,848;99,792;NA;NA;NA;NA;NA;NA;102,7712;103,8094;105,5782;NA;NA;NA;NA;NA;NA;98,896;98,981;98,674;99,792;98,915;98,506;98,674;99,079;98,972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1/31/89;99,037;NA;98,959;103,4745;NA;NA;103,4578;NA;98,525;98,03;NA;NA;98,32;98,788;98,629;99,614;NA;NA;NA;NA;NA;NA;102,4045;103,3199;104,9127;NA;NA;NA;NA;NA;NA;98,495;98,83;98,421;99,614;98,789;98,236;98,421;98,865;98,78;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/1/89;98,836;NA;98,81;103,3189;NA;NA;103,1435;NA;98,322;97,828;NA;NA;98,155;98,625;98,484;99,555;NA;NA;NA;NA;NA;NA;102,2654;103,1192;104,7752;NA;NA;NA;NA;NA;NA;98,344;98,727;98,285;99,555;98,673;98,059;98,285;98,683;98,62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/2/89;98,886;NA;98,859;103,3699;NA;NA;103,2028;NA;98,576;97,878;NA;NA;98,203;98,744;98,548;99,644;NA;NA;NA;NA;NA;NA;102,2749;103,1567;104,8659;NA;NA;NA;NA;NA;NA;98,445;98,738;98,329;99,644;98,693;98,166;98,329;98,791;98,728;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/3/89;98,735;NA;98,81;103,3131;NA;NA;103,1404;NA;98,373;97,878;NA;NA;98,159;98,607;98,464;99,585;NA;NA;NA;NA;NA;NA;102,2364;103,1208;104,7897;NA;NA;NA;NA;NA;NA;98,294;98,686;98,25;99,585;98,614;98,093;98,249;98,652;98,597;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/6/89;98,333;NA;98,661;103,1486;NA;NA;102,8934;NA;98,22;97,575;NA;NA;98,044;98,335;98,287;99,407;NA;NA;NA;NA;NA;NA;102,1608;102,9984;104,5667;NA;NA;NA;NA;NA;NA;98,043;98,605;98,035;99,407;98,534;97,921;98,034;98,344;98,34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/7/89;98,584;NA;98,661;103,1824;NA;NA;103,1606;NA;98,322;97,626;NA;NA;98,05;98,47;98,335;99,496;NA;NA;NA;NA;NA;NA;102,1401;102,9829;104,5941;NA;NA;NA;NA;NA;NA;98,043;98,595;98,039;99,496;98,525;97,955;98,039;98,5;98,453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/8/89;98,685;NA;98,71;103,1882;NA;NA;103,2925;NA;98,373;97,474;NA;NA;98,026;98,506;98,333;99,466;NA;NA;NA;NA;NA;NA;102,1204;102,9616;104,5933;NA;NA;NA;NA;NA;NA;98,094;98,569;98,022;99,466;98,489;97,932;98,022;98,569;98,483;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/9/89;98,735;NA;98,71;103,0823;NA;NA;103,2972;NA;98,373;97,474;NA;NA;97,947;98,503;98,288;99,555;NA;NA;NA;NA;NA;NA;102,0276;102,8671;104,4344;NA;NA;NA;NA;NA;NA;98,094;98,518;97,94;99,555;98,487;97,868;97,94;98,58;98,487;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/10/89;98,886;NA;98,661;103,1019;NA;NA;103,337;NA;98,423;97,625;NA;NA;97,925;98,678;98,349;99,792;NA;NA;NA;NA;NA;NA;101,9793;102,8374;104,5053;NA;NA;NA;NA;NA;NA;98,294;98,497;98;99,792;98,482;97,93;97,999;98,769;98,637;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/13/89;98,584;NA;98,562;102,9323;NA;NA;103,0168;NA;98,169;97,272;NA;NA;97,75;98,37;98,14;99,585;NA;NA;NA;NA;NA;NA;101,8854;102,644;104,2957;NA;NA;NA;NA;NA;NA;98,094;98,396;97,786;99,585;98,331;97,657;97,786;98,462;98,351;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/14/89;98,333;NA;98,314;102,7407;NA;NA;102,9358;NA;97,915;96,868;NA;NA;97,484;98,155;97,922;99,407;NA;NA;NA;NA;NA;NA;101,6479;102,3786;104,0961;NA;NA;NA;NA;NA;NA;97,742;98,268;97,5;99,407;98,192;97,333;97,5;98,24;98,137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2/15/89;98,132;NA;98,264;102,5452;NA;NA;102,7682;NA;97,661;96,767;NA;NA;97,28;97,942;97,733;99,288;NA;NA;NA;NA;NA;NA;101,4521;102,1281;103,8844;NA;NA;NA;NA;NA;NA;97,542;98,138;97,291;99,288;98,077;97,128;97,29;98,033;97,938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
