Name;TR GERMANY GVT BMK BID YLD 3M (E) - RED. YIELD
09.12.1994;5.31
12.12.1994;5.31
13.12.1994;5.52
14.12.1994;5.53
15.12.1994;5.37
16.12.1994;5.38
19.12.1994;5.12
20.12.1994;5.25
21.12.1994;5.25
22.12.1994;5.25
23.12.1994;5.18
26.12.1994;5.18
27.12.1994;5.25
28.12.1994;5.19
29.12.1994;5.12
30.12.1994;5.12
02.01.1995;5.15
03.01.1995;5.15
04.01.1995;5.06
05.01.1995;5.05
06.01.1995;5.03
09.01.1995;5
10.01.1995;4.87
11.01.1995;4.95
12.01.1995;4.93
13.01.1995;4.98
16.01.1995;4.97
17.01.1995;5
18.01.1995;5
19.01.1995;5
20.01.1995;4.94
23.01.1995;4.95
24.01.1995;4.93
25.01.1995;4.91
26.01.1995;4.88
27.01.1995;4.97
30.01.1995;4.97
31.01.1995;4.95
01.02.1995;4.93
02.02.1995;5
03.02.1995;4.95
06.02.1995;4.92
07.02.1995;4.94
08.02.1995;4.93
09.02.1995;4.93
10.02.1995;4.93
13.02.1995;5
14.02.1995;4.98
15.02.1995;4.98
16.02.1995;4.93
17.02.1995;4.93
20.02.1995;4.93
21.02.1995;4.93
22.02.1995;4.75
23.02.1995;4.93
24.02.1995;4.93
27.02.1995;4.93
28.02.1995;4.93
01.03.1995;5
02.03.1995;4.94
03.03.1995;4.94
06.03.1995;4.94
07.03.1995;4.93
08.03.1995;4.94
09.03.1995;4.93
10.03.1995;4.93
13.03.1995;4.93
14.03.1995;4.95
15.03.1995;4.95
16.03.1995;4.95
17.03.1995;4.95
20.03.1995;4.87
21.03.1995;4.88
22.03.1995;4.88
23.03.1995;4.94
24.03.1995;4.85
27.03.1995;4.81
28.03.1995;4.88
29.03.1995;4.89
30.03.1995;4.69
31.03.1995;4.62
03.04.1995;4.6
04.04.1995;4.56
05.04.1995;4.56
06.04.1995;4.44
07.04.1995;4.49
10.04.1995;4.58
11.04.1995;4.56
12.04.1995;4.56
13.04.1995;4.56
14.04.1995;4.56
17.04.1995;4.5
18.04.1995;4.37
19.04.1995;4.5
20.04.1995;4.45
21.04.1995;4.5
24.04.1995;4.45
25.04.1995;4.47
26.04.1995;4.43
27.04.1995;4.44
28.04.1995;4.42
01.05.1995;4.42
02.05.1995;4.42
03.05.1995;4.44
04.05.1995;4.42
05.05.1995;4.43
08.05.1995;4.44
09.05.1995;4.48
10.05.1995;4.43
11.05.1995;4.43
12.05.1995;4.43
15.05.1995;4.5
16.05.1995;4.43
17.05.1995;4.43
18.05.1995;4.43
19.05.1995;4.43
22.05.1995;4.31
23.05.1995;4.37
24.05.1995;4.43
25.05.1995;4.43
26.05.1995;4.31
29.05.1995;4.34
30.05.1995;4.34
31.05.1995;4.37
01.06.1995;4.39
02.06.1995;4.25
05.06.1995;4.25
06.06.1995;4.25
07.06.1995;4.35
08.06.1995;4.35
09.06.1995;4.35
12.06.1995;4.38
13.06.1995;4.37
14.06.1995;4.31
15.06.1995;4.37
16.06.1995;4.38
19.06.1995;4.37
20.06.1995;4.37
21.06.1995;4.38
22.06.1995;4.38
23.06.1995;4.31
26.06.1995;4.5
27.06.1995;4.31
28.06.1995;4.43
29.06.1995;4.5
30.06.1995;4.5
03.07.1995;4.5
04.07.1995;4.5
05.07.1995;4.44
06.07.1995;4.43
07.07.1995;4.35
10.07.1995;4.38
11.07.1995;4.4
12.07.1995;4.38
13.07.1995;4.43
14.07.1995;4.43
17.07.1995;4.42
18.07.1995;4.43
19.07.1995;4.41
20.07.1995;4.43
21.07.1995;4.48
24.07.1995;4.42
25.07.1995;4.41
26.07.1995;4.4
27.07.1995;4.41
28.07.1995;4.41
31.07.1995;4.43
01.08.1995;4.43
02.08.1995;4.35
03.08.1995;4.35
04.08.1995;4.31
07.08.1995;4.31
08.08.1995;4.15
09.08.1995;4.31
10.08.1995;4.31
11.08.1995;4.34
14.08.1995;4.33
15.08.1995;4.38
16.08.1995;4.4
17.08.1995;4.18
18.08.1995;4.32
21.08.1995;4.31
22.08.1995;4.25
23.08.1995;4.25
24.08.1995;4.21
25.08.1995;4.18
28.08.1995;4.18
29.08.1995;4.25
30.08.1995;4.18
31.08.1995;4.12
01.09.1995;4.18
04.09.1995;4.12
05.09.1995;4.12
06.09.1995;4.12
07.09.1995;4.07
08.09.1995;4.13
11.09.1995;3.93
12.09.1995;4.12
13.09.1995;4.06
14.09.1995;4.14
15.09.1995;4
18.09.1995;4
19.09.1995;4.02
20.09.1995;4
21.09.1995;4
22.09.1995;4
25.09.1995;3.92
26.09.1995;3.93
27.09.1995;3.98
28.09.1995;3.95
29.09.1995;3.93
02.10.1995;3.97
03.10.1995;3.96
04.10.1995;3.93
05.10.1995;3.94
06.10.1995;3.93
09.10.1995;3.93
10.10.1995;3.84
11.10.1995;3.94
12.10.1995;3.92
13.10.1995;4
16.10.1995;3.93
17.10.1995;3.93
18.10.1995;3.99
19.10.1995;4.05
20.10.1995;3.96
23.10.1995;3.95
24.10.1995;4
25.10.1995;3.96
26.10.1995;3.97
27.10.1995;4
30.10.1995;4
31.10.1995;4
01.11.1995;3.99
02.11.1995;4.02
03.11.1995;3.97
06.11.1995;3.97
07.11.1995;3.95
08.11.1995;3.94
09.11.1995;3.9
10.11.1995;3.9
13.11.1995;3.93
14.11.1995;3.9
15.11.1995;3.9
16.11.1995;3.9
17.11.1995;3.86
20.11.1995;3.9
21.11.1995;3.85
22.11.1995;3.9
23.11.1995;3.87
24.11.1995;3.87
27.11.1995;3.78
28.11.1995;3.87
29.11.1995;3.88
30.11.1995;3.88
01.12.1995;3.85
04.12.1995;3.87
05.12.1995;3.88
06.12.1995;3.9
07.12.1995;3.92
08.12.1995;3.92
11.12.1995;3.92
12.12.1995;3.92
13.12.1995;3.9
14.12.1995;3.8
15.12.1995;3.8
18.12.1995;3.8
19.12.1995;3.8
20.12.1995;3.8
21.12.1995;3.8
22.12.1995;3.8
25.12.1995;3.8
26.12.1995;3.8
27.12.1995;3.85
28.12.1995;3.7
29.12.1995;3.7
01.01.1996;3.7
02.01.1996;3.68
03.01.1996;3.7
04.01.1996;3.65
05.01.1996;3.65
08.01.1996;3.65
09.01.1996;3.63
10.01.1996;3.58
11.01.1996;3.6
12.01.1996;3.53
15.01.1996;3.55
16.01.1996;3.53
17.01.1996;3.45
18.01.1996;3.47
19.01.1996;3.42
22.01.1996;3.4
23.01.1996;3.4
24.01.1996;3.38
25.01.1996;3.35
26.01.1996;3.35
29.01.1996;3.35
30.01.1996;3.33
