Name;TR GERMANY GVT BMK BID YLD 10Y (E) - RED. YIELD
31.01.1957;7.3
01.02.1957;7.3
04.02.1957;7.3
05.02.1957;7.3
06.02.1957;7.3
07.02.1957;7.3
08.02.1957;7.3
11.02.1957;7.3
12.02.1957;7.3
13.02.1957;7.3
14.02.1957;7.3
15.02.1957;7.3
18.02.1957;7.3
19.02.1957;7.3
20.02.1957;7.3
21.02.1957;7.3
22.02.1957;7.3
25.02.1957;7.3
26.02.1957;7.3
27.02.1957;7.3
28.02.1957;7.4
01.03.1957;7.4
04.03.1957;7.4
05.03.1957;7.4
06.03.1957;7.4
07.03.1957;7.4
08.03.1957;7.4
11.03.1957;7.4
12.03.1957;7.4
13.03.1957;7.4
14.03.1957;7.4
15.03.1957;7.4
18.03.1957;7.4
19.03.1957;7.4
20.03.1957;7.4
21.03.1957;7.4
22.03.1957;7.4
25.03.1957;7.4
26.03.1957;7.4
27.03.1957;7.4
28.03.1957;7.4
29.03.1957;7.5
01.04.1957;7.5
02.04.1957;7.5
03.04.1957;7.5
04.04.1957;7.5
05.04.1957;7.5
08.04.1957;7.5
09.04.1957;7.5
10.04.1957;7.5
11.04.1957;7.5
12.04.1957;7.5
15.04.1957;7.5
16.04.1957;7.5
17.04.1957;7.5
18.04.1957;7.5
19.04.1957;7.5
22.04.1957;7.5
23.04.1957;7.5
24.04.1957;7.5
25.04.1957;7.5
26.04.1957;7.5
29.04.1957;7.5
30.04.1957;7.4
01.05.1957;7.4
02.05.1957;7.4
03.05.1957;7.4
06.05.1957;7.4
07.05.1957;7.4
08.05.1957;7.4
09.05.1957;7.4
10.05.1957;7.4
13.05.1957;7.4
14.05.1957;7.4
15.05.1957;7.4
16.05.1957;7.4
17.05.1957;7.4
20.05.1957;7.4
21.05.1957;7.4
22.05.1957;7.4
23.05.1957;7.4
24.05.1957;7.4
27.05.1957;7.4
28.05.1957;7.4
29.05.1957;7.4
30.05.1957;7.4
31.05.1957;7.4
03.06.1957;7.4
04.06.1957;7.4
05.06.1957;7.4
06.06.1957;7.4
07.06.1957;7.4
10.06.1957;7.4
11.06.1957;7.4
12.06.1957;7.4
13.06.1957;7.4
14.06.1957;7.4
17.06.1957;7.4
18.06.1957;7.4
19.06.1957;7.4
20.06.1957;7.4
21.06.1957;7.4
24.06.1957;7.4
25.06.1957;7.4
26.06.1957;7.4
27.06.1957;7.4
28.06.1957;7.4
01.07.1957;7.4
02.07.1957;7.4
03.07.1957;7.4
04.07.1957;7.4
05.07.1957;7.4
08.07.1957;7.4
09.07.1957;7.4
10.07.1957;7.4
11.07.1957;7.4
12.07.1957;7.4
15.07.1957;7.4
16.07.1957;7.4
17.07.1957;7.4
18.07.1957;7.4
19.07.1957;7.4
22.07.1957;7.4
23.07.1957;7.4
24.07.1957;7.4
25.07.1957;7.4
26.07.1957;7.4
29.07.1957;7.4
30.07.1957;7.4
31.07.1957;7.5
01.08.1957;7.5
02.08.1957;7.5
05.08.1957;7.5
06.08.1957;7.5
07.08.1957;7.5
08.08.1957;7.5
09.08.1957;7.5
12.08.1957;7.5
13.08.1957;7.5
14.08.1957;7.5
15.08.1957;7.5
16.08.1957;7.5
19.08.1957;7.5
20.08.1957;7.5
21.08.1957;7.5
22.08.1957;7.5
23.08.1957;7.5
26.08.1957;7.5
27.08.1957;7.5
28.08.1957;7.5
29.08.1957;7.5
30.08.1957;7.6
02.09.1957;7.6
03.09.1957;7.6
04.09.1957;7.6
05.09.1957;7.6
06.09.1957;7.6
09.09.1957;7.6
10.09.1957;7.6
11.09.1957;7.6
12.09.1957;7.6
13.09.1957;7.6
16.09.1957;7.6
17.09.1957;7.6
18.09.1957;7.6
19.09.1957;7.6
20.09.1957;7.6
23.09.1957;7.6
24.09.1957;7.6
25.09.1957;7.6
26.09.1957;7.6
27.09.1957;7.6
30.09.1957;7.6
01.10.1957;7.6
02.10.1957;7.6
03.10.1957;7.6
04.10.1957;7.6
07.10.1957;7.6
08.10.1957;7.6
09.10.1957;7.6
10.10.1957;7.6
11.10.1957;7.6
14.10.1957;7.6
15.10.1957;7.6
16.10.1957;7.6
17.10.1957;7.6
18.10.1957;7.6
21.10.1957;7.6
22.10.1957;7.6
23.10.1957;7.6
24.10.1957;7.6
25.10.1957;7.6
28.10.1957;7.6
29.10.1957;7.6
30.10.1957;7.6
31.10.1957;7.7
01.11.1957;7.7
04.11.1957;7.7
05.11.1957;7.7
06.11.1957;7.7
07.11.1957;7.7
08.11.1957;7.7
11.11.1957;7.7
12.11.1957;7.7
13.11.1957;7.7
14.11.1957;7.7
15.11.1957;7.7
18.11.1957;7.7
19.11.1957;7.7
20.11.1957;7.7
21.11.1957;7.7
22.11.1957;7.7
25.11.1957;7.7
26.11.1957;7.7
27.11.1957;7.7
28.11.1957;7.7
29.11.1957;7.7
02.12.1957;7.7
03.12.1957;7.7
04.12.1957;7.7
05.12.1957;7.7
06.12.1957;7.7
09.12.1957;7.7
10.12.1957;7.7
11.12.1957;7.7
12.12.1957;7.7
13.12.1957;7.7
16.12.1957;7.7
17.12.1957;7.7
18.12.1957;7.7
19.12.1957;7.7
20.12.1957;7.7
23.12.1957;7.7
24.12.1957;7.7
25.12.1957;7.7
26.12.1957;7.7
27.12.1957;7.7
30.12.1957;7.7
31.12.1957;7.7
01.01.1958;7.7
02.01.1958;7.7
03.01.1958;7.7
06.01.1958;7.7
07.01.1958;7.7
08.01.1958;7.7
09.01.1958;7.7
10.01.1958;7.7
13.01.1958;7.7
14.01.1958;7.7
15.01.1958;7.7
16.01.1958;7.7
17.01.1958;7.7
20.01.1958;7.7
21.01.1958;7.7
22.01.1958;7.7
23.01.1958;7.7
24.01.1958;7.7
27.01.1958;7.7
28.01.1958;7.7
29.01.1958;7.7
30.01.1958;7.7
31.01.1958;7.7
03.02.1958;7.7
04.02.1958;7.7
05.02.1958;7.7
06.02.1958;7.7
07.02.1958;7.7
10.02.1958;7.7
11.02.1958;7.7
12.02.1958;7.7
13.02.1958;7.7
14.02.1958;7.7
17.02.1958;7.7
18.02.1958;7.7
19.02.1958;7.7
20.02.1958;7.7
21.02.1958;7.7
24.02.1958;7.7
25.02.1958;7.7
26.02.1958;7.7
27.02.1958;7.7
28.02.1958;7.5
03.03.1958;7.5
04.03.1958;7.5
05.03.1958;7.5
06.03.1958;7.5
07.03.1958;7.5
10.03.1958;7.5
11.03.1958;7.5
12.03.1958;7.5
13.03.1958;7.5
14.03.1958;7.5
17.03.1958;7.5
18.03.1958;7.5
19.03.1958;7.5
20.03.1958;7.5
21.03.1958;7.5
24.03.1958;7.5
25.03.1958;7.5
26.03.1958;7.5
27.03.1958;7.5
28.03.1958;7.5
31.03.1958;7.4
01.04.1958;7.4
02.04.1958;7.4
03.04.1958;7.4
04.04.1958;7.4
07.04.1958;7.4
08.04.1958;7.4
09.04.1958;7.4
10.04.1958;7.4
11.04.1958;7.4
14.04.1958;7.4
15.04.1958;7.4
16.04.1958;7.4
17.04.1958;7.4
18.04.1958;7.4
21.04.1958;7.4
22.04.1958;7.4
23.04.1958;7.4
24.04.1958;7.4
25.04.1958;7.4
28.04.1958;7.4
29.04.1958;7.4
30.04.1958;7.4
01.05.1958;7.4
02.05.1958;7.4
05.05.1958;7.4
06.05.1958;7.4
07.05.1958;7.4
08.05.1958;7.4
09.05.1958;7.4
12.05.1958;7.4
13.05.1958;7.4
14.05.1958;7.4
15.05.1958;7.4
16.05.1958;7.4
19.05.1958;7.4
20.05.1958;7.4
21.05.1958;7.4
22.05.1958;7.4
23.05.1958;7.4
26.05.1958;7.4
27.05.1958;7.4
28.05.1958;7.4
29.05.1958;7.4
30.05.1958;7.3
02.06.1958;7.3
03.06.1958;7.3
04.06.1958;7.3
05.06.1958;7.3
06.06.1958;7.3
09.06.1958;7.3
10.06.1958;7.3
11.06.1958;7.3
12.06.1958;7.3
13.06.1958;7.3
16.06.1958;7.3
17.06.1958;7.3
18.06.1958;7.3
19.06.1958;7.3
20.06.1958;7.3
23.06.1958;7.3
24.06.1958;7.3
25.06.1958;7.3
26.06.1958;7.3
27.06.1958;7.3
30.06.1958;7.1
01.07.1958;7.1
02.07.1958;7.1
03.07.1958;7.1
04.07.1958;7.1
07.07.1958;7.1
08.07.1958;7.1
09.07.1958;7.1
10.07.1958;7.1
11.07.1958;7.1
14.07.1958;7.1
15.07.1958;7.1
16.07.1958;7.1
17.07.1958;7.1
18.07.1958;7.1
21.07.1958;7.1
22.07.1958;7.1
23.07.1958;7.1
24.07.1958;7.1
25.07.1958;7.1
28.07.1958;7.1
29.07.1958;7.1
30.07.1958;7.1
31.07.1958;6.7
01.08.1958;6.7
04.08.1958;6.7
05.08.1958;6.7
06.08.1958;6.7
07.08.1958;6.7
08.08.1958;6.7
11.08.1958;6.7
12.08.1958;6.7
13.08.1958;6.7
14.08.1958;6.7
15.08.1958;6.7
18.08.1958;6.7
19.08.1958;6.7
20.08.1958;6.7
21.08.1958;6.7
22.08.1958;6.7
25.08.1958;6.7
26.08.1958;6.7
27.08.1958;6.7
28.08.1958;6.7
29.08.1958;6.5
01.09.1958;6.5
02.09.1958;6.5
03.09.1958;6.5
04.09.1958;6.5
05.09.1958;6.5
08.09.1958;6.5
09.09.1958;6.5
10.09.1958;6.5
11.09.1958;6.5
12.09.1958;6.5
15.09.1958;6.5
16.09.1958;6.5
17.09.1958;6.5
18.09.1958;6.5
19.09.1958;6.5
22.09.1958;6.5
23.09.1958;6.5
24.09.1958;6.5
25.09.1958;6.5
26.09.1958;6.5
29.09.1958;6.5
30.09.1958;6.2
01.10.1958;6.2
02.10.1958;6.2
03.10.1958;6.2
06.10.1958;6.2
07.10.1958;6.2
08.10.1958;6.2
09.10.1958;6.2
10.10.1958;6.2
13.10.1958;6.2
14.10.1958;6.2
15.10.1958;6.2
16.10.1958;6.2
17.10.1958;6.2
20.10.1958;6.2
21.10.1958;6.2
22.10.1958;6.2
23.10.1958;6.2
24.10.1958;6.2
27.10.1958;6.2
28.10.1958;6.2
29.10.1958;6.2
30.10.1958;6.2
31.10.1958;6
03.11.1958;6
04.11.1958;6
05.11.1958;6
06.11.1958;6
07.11.1958;6
10.11.1958;6
11.11.1958;6
12.11.1958;6
13.11.1958;6
14.11.1958;6
17.11.1958;6
18.11.1958;6
19.11.1958;6
20.11.1958;6
21.11.1958;6
24.11.1958;6
25.11.1958;6
26.11.1958;6
27.11.1958;6
28.11.1958;5.9
01.12.1958;5.9
02.12.1958;5.9
03.12.1958;5.9
04.12.1958;5.9
05.12.1958;5.9
08.12.1958;5.9
09.12.1958;5.9
10.12.1958;5.9
11.12.1958;5.9
12.12.1958;5.9
15.12.1958;5.9
16.12.1958;5.9
17.12.1958;5.9
18.12.1958;5.9
19.12.1958;5.9
22.12.1958;5.9
23.12.1958;5.9
24.12.1958;5.9
25.12.1958;5.9
26.12.1958;5.9
29.12.1958;5.9
30.12.1958;5.9
31.12.1958;5.9
01.01.1959;5.9
02.01.1959;5.9
05.01.1959;5.9
06.01.1959;5.9
07.01.1959;5.9
08.01.1959;5.9
09.01.1959;5.9
12.01.1959;5.9
13.01.1959;5.9
14.01.1959;5.9
15.01.1959;5.9
16.01.1959;5.9
19.01.1959;5.9
20.01.1959;5.9
21.01.1959;5.9
22.01.1959;5.9
23.01.1959;5.9
26.01.1959;5.9
27.01.1959;5.9
28.01.1959;5.9
29.01.1959;5.9
30.01.1959;5.8
02.02.1959;5.8
03.02.1959;5.8
04.02.1959;5.8
05.02.1959;5.8
06.02.1959;5.8
09.02.1959;5.8
10.02.1959;5.8
11.02.1959;5.8
12.02.1959;5.8
13.02.1959;5.8
16.02.1959;5.8
17.02.1959;5.8
18.02.1959;5.8
19.02.1959;5.8
20.02.1959;5.8
23.02.1959;5.8
24.02.1959;5.8
25.02.1959;5.8
26.02.1959;5.8
27.02.1959;5.6
02.03.1959;5.6
03.03.1959;5.6
04.03.1959;5.6
05.03.1959;5.6
06.03.1959;5.6
09.03.1959;5.6
10.03.1959;5.6
11.03.1959;5.6
12.03.1959;5.6
13.03.1959;5.6
16.03.1959;5.6
17.03.1959;5.6
18.03.1959;5.6
19.03.1959;5.6
20.03.1959;5.6
23.03.1959;5.6
24.03.1959;5.6
25.03.1959;5.6
26.03.1959;5.6
27.03.1959;5.6
30.03.1959;5.6
31.03.1959;5.6
01.04.1959;5.6
02.04.1959;5.6
03.04.1959;5.6
06.04.1959;5.6
07.04.1959;5.6
08.04.1959;5.6
09.04.1959;5.6
10.04.1959;5.6
13.04.1959;5.6
14.04.1959;5.6
15.04.1959;5.6
16.04.1959;5.6
17.04.1959;5.6
20.04.1959;5.6
21.04.1959;5.6
22.04.1959;5.6
23.04.1959;5.6
24.04.1959;5.6
27.04.1959;5.6
28.04.1959;5.6
29.04.1959;5.6
30.04.1959;5.6
01.05.1959;5.6
04.05.1959;5.6
05.05.1959;5.6
06.05.1959;5.6
07.05.1959;5.6
08.05.1959;5.6
11.05.1959;5.6
12.05.1959;5.6
13.05.1959;5.6
14.05.1959;5.6
15.05.1959;5.6
18.05.1959;5.6
19.05.1959;5.6
20.05.1959;5.6
21.05.1959;5.6
22.05.1959;5.6
25.05.1959;5.6
26.05.1959;5.6
27.05.1959;5.6
28.05.1959;5.6
29.05.1959;5.7
01.06.1959;5.7
02.06.1959;5.7
03.06.1959;5.7
04.06.1959;5.7
05.06.1959;5.7
08.06.1959;5.7
09.06.1959;5.7
10.06.1959;5.7
11.06.1959;5.7
12.06.1959;5.7
15.06.1959;5.7
16.06.1959;5.7
17.06.1959;5.7
18.06.1959;5.7
19.06.1959;5.7
22.06.1959;5.7
23.06.1959;5.7
24.06.1959;5.7
25.06.1959;5.7
26.06.1959;5.7
29.06.1959;5.7
30.06.1959;5.7
01.07.1959;5.7
02.07.1959;5.7
03.07.1959;5.7
06.07.1959;5.7
07.07.1959;5.7
08.07.1959;5.7
09.07.1959;5.7
10.07.1959;5.7
13.07.1959;5.7
14.07.1959;5.7
15.07.1959;5.7
16.07.1959;5.7
17.07.1959;5.7
20.07.1959;5.7
21.07.1959;5.7
22.07.1959;5.7
23.07.1959;5.7
24.07.1959;5.7
27.07.1959;5.7
28.07.1959;5.7
29.07.1959;5.7
30.07.1959;5.7
31.07.1959;5.6
03.08.1959;5.6
04.08.1959;5.6
05.08.1959;5.6
06.08.1959;5.6
07.08.1959;5.6
10.08.1959;5.6
11.08.1959;5.6
12.08.1959;5.6
13.08.1959;5.6
14.08.1959;5.6
17.08.1959;5.6
18.08.1959;5.6
19.08.1959;5.6
20.08.1959;5.6
21.08.1959;5.6
24.08.1959;5.6
25.08.1959;5.6
26.08.1959;5.6
27.08.1959;5.6
28.08.1959;5.6
31.08.1959;5.5
01.09.1959;5.5
02.09.1959;5.5
03.09.1959;5.5
04.09.1959;5.5
07.09.1959;5.5
08.09.1959;5.5
09.09.1959;5.5
10.09.1959;5.5
11.09.1959;5.5
14.09.1959;5.5
15.09.1959;5.5
16.09.1959;5.5
17.09.1959;5.5
18.09.1959;5.5
21.09.1959;5.5
22.09.1959;5.5
23.09.1959;5.5
24.09.1959;5.5
25.09.1959;5.5
28.09.1959;5.5
29.09.1959;5.5
30.09.1959;5.8
01.10.1959;5.8
02.10.1959;5.8
05.10.1959;5.8
06.10.1959;5.8
07.10.1959;5.8
08.10.1959;5.8
09.10.1959;5.8
12.10.1959;5.8
13.10.1959;5.8
14.10.1959;5.8
15.10.1959;5.8
16.10.1959;5.8
19.10.1959;5.8
20.10.1959;5.8
21.10.1959;5.8
22.10.1959;5.8
23.10.1959;5.8
26.10.1959;5.8
27.10.1959;5.8
28.10.1959;5.8
29.10.1959;5.8
30.10.1959;6
02.11.1959;6
03.11.1959;6
04.11.1959;6
05.11.1959;6
06.11.1959;6
09.11.1959;6
10.11.1959;6
11.11.1959;6
12.11.1959;6
13.11.1959;6
16.11.1959;6
17.11.1959;6
18.11.1959;6
19.11.1959;6
20.11.1959;6
23.11.1959;6
24.11.1959;6
25.11.1959;6
26.11.1959;6
27.11.1959;6
30.11.1959;6.1
01.12.1959;6.1
02.12.1959;6.1
03.12.1959;6.1
04.12.1959;6.1
07.12.1959;6.1
08.12.1959;6.1
09.12.1959;6.1
10.12.1959;6.1
11.12.1959;6.1
14.12.1959;6.1
15.12.1959;6.1
16.12.1959;6.1
17.12.1959;6.1
18.12.1959;6.1
21.12.1959;6.1
22.12.1959;6.1
23.12.1959;6.1
24.12.1959;6.1
25.12.1959;6.1
28.12.1959;6.1
29.12.1959;6.1
30.12.1959;6.1
31.12.1959;6.2
01.01.1960;6.2
04.01.1960;6.2
05.01.1960;6.2
06.01.1960;6.2
07.01.1960;6.2
08.01.1960;6.2
11.01.1960;6.2
12.01.1960;6.2
13.01.1960;6.2
14.01.1960;6.2
15.01.1960;6.2
18.01.1960;6.2
19.01.1960;6.2
20.01.1960;6.2
21.01.1960;6.2
22.01.1960;6.2
25.01.1960;6.2
26.01.1960;6.2
27.01.1960;6.2
28.01.1960;6.2
29.01.1960;6.5
01.02.1960;6.5
02.02.1960;6.5
03.02.1960;6.5
04.02.1960;6.5
05.02.1960;6.5
08.02.1960;6.5
09.02.1960;6.5
10.02.1960;6.5
11.02.1960;6.5
12.02.1960;6.5
15.02.1960;6.5
16.02.1960;6.5
17.02.1960;6.5
18.02.1960;6.5
19.02.1960;6.5
22.02.1960;6.5
23.02.1960;6.5
24.02.1960;6.5
25.02.1960;6.5
26.02.1960;6.5
29.02.1960;6.4
01.03.1960;6.4
02.03.1960;6.4
03.03.1960;6.4
04.03.1960;6.4
07.03.1960;6.4
08.03.1960;6.4
09.03.1960;6.4
10.03.1960;6.4
11.03.1960;6.4
14.03.1960;6.4
15.03.1960;6.4
16.03.1960;6.4
17.03.1960;6.4
18.03.1960;6.4
21.03.1960;6.4
22.03.1960;6.4
23.03.1960;6.4
24.03.1960;6.4
25.03.1960;6.4
28.03.1960;6.4
29.03.1960;6.4
30.03.1960;6.4
31.03.1960;6.4
01.04.1960;6.4
04.04.1960;6.4
05.04.1960;6.4
06.04.1960;6.4
07.04.1960;6.4
08.04.1960;6.4
11.04.1960;6.4
12.04.1960;6.4
13.04.1960;6.4
14.04.1960;6.4
15.04.1960;6.4
18.04.1960;6.4
19.04.1960;6.4
20.04.1960;6.4
21.04.1960;6.4
22.04.1960;6.4
25.04.1960;6.4
26.04.1960;6.4
27.04.1960;6.4
28.04.1960;6.4
29.04.1960;6.4
02.05.1960;6.4
03.05.1960;6.4
04.05.1960;6.4
05.05.1960;6.4
06.05.1960;6.4
09.05.1960;6.4
10.05.1960;6.4
11.05.1960;6.4
12.05.1960;6.4
13.05.1960;6.4
16.05.1960;6.4
17.05.1960;6.4
18.05.1960;6.4
19.05.1960;6.4
20.05.1960;6.4
23.05.1960;6.4
24.05.1960;6.4
25.05.1960;6.4
26.05.1960;6.4
27.05.1960;6.4
30.05.1960;6.4
31.05.1960;6.4
01.06.1960;6.4
02.06.1960;6.4
03.06.1960;6.4
06.06.1960;6.4
07.06.1960;6.4
08.06.1960;6.4
09.06.1960;6.4
10.06.1960;6.4
13.06.1960;6.4
14.06.1960;6.4
15.06.1960;6.4
16.06.1960;6.4
17.06.1960;6.4
20.06.1960;6.4
21.06.1960;6.4
22.06.1960;6.4
23.06.1960;6.4
24.06.1960;6.4
27.06.1960;6.4
28.06.1960;6.4
29.06.1960;6.4
30.06.1960;6.6
01.07.1960;6.6
04.07.1960;6.6
05.07.1960;6.6
06.07.1960;6.6
07.07.1960;6.6
08.07.1960;6.6
11.07.1960;6.6
12.07.1960;6.6
13.07.1960;6.6
14.07.1960;6.6
15.07.1960;6.6
18.07.1960;6.6
19.07.1960;6.6
20.07.1960;6.6
21.07.1960;6.6
22.07.1960;6.6
25.07.1960;6.6
26.07.1960;6.6
27.07.1960;6.6
28.07.1960;6.6
29.07.1960;6.7
01.08.1960;6.7
02.08.1960;6.7
03.08.1960;6.7
04.08.1960;6.7
05.08.1960;6.7
08.08.1960;6.7
09.08.1960;6.7
10.08.1960;6.7
11.08.1960;6.7
12.08.1960;6.7
15.08.1960;6.7
16.08.1960;6.7
17.08.1960;6.7
18.08.1960;6.7
19.08.1960;6.7
22.08.1960;6.7
23.08.1960;6.7
24.08.1960;6.7
25.08.1960;6.7
26.08.1960;6.7
29.08.1960;6.7
30.08.1960;6.7
31.08.1960;6.5
01.09.1960;6.5
02.09.1960;6.5
05.09.1960;6.5
06.09.1960;6.5
07.09.1960;6.5
08.09.1960;6.5
09.09.1960;6.5
12.09.1960;6.5
13.09.1960;6.5
14.09.1960;6.5
15.09.1960;6.5
16.09.1960;6.5
19.09.1960;6.5
20.09.1960;6.5
21.09.1960;6.5
22.09.1960;6.5
23.09.1960;6.5
26.09.1960;6.5
27.09.1960;6.5
28.09.1960;6.5
29.09.1960;6.5
30.09.1960;6.5
03.10.1960;6.5
04.10.1960;6.5
05.10.1960;6.5
06.10.1960;6.5
07.10.1960;6.5
10.10.1960;6.5
11.10.1960;6.5
12.10.1960;6.5
13.10.1960;6.5
14.10.1960;6.5
17.10.1960;6.5
18.10.1960;6.5
19.10.1960;6.5
20.10.1960;6.5
21.10.1960;6.5
24.10.1960;6.5
25.10.1960;6.5
