Name;MSCI WORLD U$ - PRICE INDEX;;;
12/31/69;100;;;
1/1/70;100;;;
1/2/70;100;;;
1/5/70;100;;;
1/6/70;100;;;
1/7/70;100,67;;;
1/8/70;100,67;;;
1/9/70;100,67;;;
1/12/70;100,67;;;
1/13/70;100,67;;;
1/14/70;99,768;;;
1/15/70;99,768;;;
1/16/70;99,768;;;
1/19/70;99,768;;;
1/20/70;99,768;;;
1/21/70;98,384;;;
1/22/70;98,384;;;
1/23/70;98,384;;;
1/26/70;98,384;;;
1/27/70;98,384;;;
1/28/70;95,907;;;
1/29/70;95,907;;;
1/30/70;94,249;;;
2/2/70;94,249;;;
2/3/70;94,249;;;
2/4/70;95,907;;;
2/5/70;95,907;;;
2/6/70;95,907;;;
2/9/70;95,907;;;
2/10/70;95,907;;;
2/11/70;95,473;;;
2/12/70;95,473;;;
2/13/70;95,473;;;
2/16/70;95,473;;;
2/17/70;95,473;;;
2/18/70;95,632;;;
2/19/70;95,632;;;
2/20/70;95,632;;;
2/23/70;95,632;;;
2/24/70;95,632;;;
2/25/70;96,867;;;
2/26/70;96,867;;;
2/27/70;96,979;;;
3/2/70;96,979;;;
3/3/70;96,979;;;
3/4/70;96,979;;;
3/5/70;96,979;;;
3/6/70;96,979;;;
3/9/70;96,979;;;
3/10/70;96,979;;;
3/11/70;96,979;;;
3/12/70;96,979;;;
3/13/70;96,979;;;
3/16/70;96,979;;;
3/17/70;96,979;;;
3/18/70;96,979;;;
3/19/70;96,979;;;
3/20/70;96,979;;;
3/23/70;96,979;;;
3/24/70;96,979;;;
3/25/70;96,979;;;
3/26/70;96,979;;;
3/27/70;96,979;;;
3/30/70;96,979;;;
3/31/70;97,075;;;
4/1/70;97,01;;;
4/2/70;97,01;;;
4/3/70;97,01;;;
4/6/70;97,01;;;
4/7/70;97,01;;;
4/8/70;95,78;;;
4/9/70;95,78;;;
4/10/70;95,78;;;
4/13/70;95,78;;;
4/14/70;95,78;;;
4/15/70;94,14;;;
4/16/70;94,14;;;
4/17/70;94,14;;;
4/20/70;94,14;;;
4/21/70;94,14;;;
4/22/70;91,49;;;
4/23/70;91,49;;;
4/24/70;91,49;;;
4/27/70;91,49;;;
4/28/70;91,49;;;
4/29/70;88,1;;;
4/30/70;87,8;;;
5/1/70;87,8;;;
5/4/70;87,8;;;
5/5/70;87,8;;;
5/6/70;86,35;;;
5/7/70;86,35;;;
5/8/70;86,35;;;
5/11/70;86,35;;;
5/12/70;86,35;;;
5/13/70;83,55;;;
5/14/70;83,55;;;
5/15/70;83,55;;;
5/18/70;83,55;;;
5/19/70;83,55;;;
5/20/70;79,99;;;
5/21/70;79,99;;;
5/22/70;79,99;;;
5/25/70;77,91;;;
5/26/70;77,91;;;
5/27/70;77,91;;;
5/28/70;77,91;;;
5/29/70;82,06;;;
6/1/70;82,06;;;
6/2/70;82,06;;;
6/3/70;84,14;;;
6/4/70;84,14;;;
6/5/70;84,14;;;
6/8/70;84,14;;;
6/9/70;84,14;;;
6/10/70;81,63;;;
6/11/70;81,63;;;
6/12/70;81,63;;;
6/15/70;81,63;;;
6/16/70;81,63;;;
6/17/70;81,97;;;
6/18/70;81,97;;;
6/19/70;81,97;;;
6/22/70;81,97;;;
6/23/70;81,97;;;
6/24/70;80,52;;;
6/25/70;80,52;;;
6/26/70;80,52;;;
6/29/70;80,52;;;
6/30/70;79,837;;;
7/1/70;80,047;;;
7/2/70;80,047;;;
7/3/70;80,047;;;
7/6/70;80,047;;;
7/7/70;80,047;;;
7/8/70;79,596;;;
7/9/70;79,596;;;
7/10/70;79,596;;;
7/13/70;79,596;;;
7/14/70;79,596;;;
7/15/70;81,171;;;
7/16/70;81,171;;;
7/17/70;81,171;;;
7/20/70;81,171;;;
7/21/70;81,171;;;
7/22/70;82,826;;;
7/23/70;82,826;;;
7/24/70;82,826;;;
7/27/70;82,826;;;
7/28/70;82,826;;;
7/29/70;84,08;;;
7/30/70;84,08;;;
7/31/70;84,585;;;
8/3/70;84,585;;;
8/4/70;84,585;;;
8/5/70;84,028;;;
8/6/70;84,028;;;
8/7/70;84,028;;;
8/10/70;84,028;;;
8/11/70;84,028;;;
8/12/70;82,523;;;
8/13/70;82,523;;;
8/14/70;82,523;;;
8/17/70;82,523;;;
8/18/70;82,523;;;
8/19/70;83,446;;;
8/20/70;83,446;;;
8/21/70;83,446;;;
8/24/70;83,446;;;
8/25/70;83,446;;;
8/26/70;86,998;;;
8/27/70;86,998;;;
8/28/70;86,998;;;
8/31/70;87,175;;;
9/1/70;87,175;;;
9/2/70;86,566;;;
9/3/70;86,566;;;
9/4/70;86,566;;;
9/7/70;86,566;;;
9/8/70;86,566;;;
9/9/70;88,161;;;
9/10/70;88,161;;;
9/11/70;88,161;;;
9/14/70;88,161;;;
9/15/70;88,161;;;
9/16/70;87,198;;;
9/17/70;87,198;;;
9/18/70;87,198;;;
9/21/70;87,198;;;
9/22/70;87,198;;;
9/23/70;88,382;;;
9/24/70;88,382;;;
9/25/70;88,382;;;
9/28/70;88,382;;;
9/29/70;88,382;;;
9/30/70;89,788;;;
10/1/70;89,788;;;
10/2/70;89,788;;;
10/5/70;89,788;;;
10/6/70;89,788;;;
10/7/70;92,014;;;
10/8/70;92,014;;;
10/9/70;92,014;;;
10/12/70;92,014;;;
10/13/70;92,014;;;
10/14/70;89,817;;;
10/15/70;89,817;;;
10/16/70;89,817;;;
10/19/70;89,817;;;
10/20/70;89,817;;;
10/21/70;89,321;;;
10/22/70;89,321;;;
10/23/70;89,321;;;
10/26/70;89,321;;;
10/27/70;89,321;;;
10/28/70;88,714;;;
10/29/70;88,714;;;
10/30/70;88,264;;;
11/2/70;88,264;;;
11/3/70;88,264;;;
11/4/70;89,177;;;
11/5/70;89,177;;;
11/6/70;89,177;;;
11/9/70;89,177;;;
11/10/70;89,177;;;
11/11/70;89,197;;;
11/12/70;89,197;;;
11/13/70;89,197;;;
11/16/70;89,197;;;
11/17/70;89,197;;;
11/18/70;87,115;;;
11/19/70;87,115;;;
11/20/70;87,115;;;
11/23/70;87,115;;;
11/24/70;87,115;;;
11/25/70;88,53;;;
11/26/70;88,53;;;
11/27/70;88,53;;;
11/30/70;90,035;;;
12/1/70;90,035;;;
12/2/70;91,205;;;
12/3/70;91,205;;;
12/4/70;91,205;;;
12/7/70;91,205;;;
12/8/70;91,205;;;
12/9/70;91,814;;;
12/10/70;91,814;;;
12/11/70;91,814;;;
12/14/70;91,814;;;
12/15/70;91,814;;;
12/16/70;92,142;;;
12/17/70;92,142;;;
12/18/70;92,142;;;
12/21/70;92,142;;;
12/22/70;92,142;;;
12/23/70;92,593;;;
12/24/70;92,593;;;
12/25/70;92,593;;;
12/28/70;92,593;;;
12/29/70;92,593;;;
12/30/70;94,384;;;
12/31/70;94,292;;;
1/1/71;94,292;;;
1/4/71;94,292;;;
1/5/71;94,292;;;
1/6/71;94,708;;;
1/7/71;94,708;;;
1/8/71;94,708;;;
1/11/71;94,708;;;
1/12/71;94,708;;;
1/13/71;95,491;;;
1/14/71;95,491;;;
1/15/71;95,491;;;
1/18/71;95,491;;;
1/19/71;95,491;;;
1/20/71;96,486;;;
1/21/71;96,486;;;
1/22/71;96,486;;;
1/25/71;96,486;;;
1/26/71;96,486;;;
1/27/71;97,647;;;
1/28/71;97,647;;;
1/29/71;98,42;;;
2/1/71;98,42;;;
2/2/71;98,42;;;
2/3/71;99,028;;;
2/4/71;99,028;;;
2/5/71;99,028;;;
2/8/71;99,028;;;
2/9/71;99,028;;;
2/10/71;99,387;;;
2/11/71;99,387;;;
2/12/71;99,387;;;
2/15/71;99,387;;;
2/16/71;99,387;;;
2/17/71;100,685;;;
2/18/71;100,685;;;
2/19/71;100,685;;;
2/22/71;100,685;;;
2/23/71;100,685;;;
2/24/71;99,413;;;
2/25/71;99,413;;;
2/26/71;99,255;;;
3/1/71;99,255;;;
3/2/71;99,255;;;
3/3/71;99,36;;;
3/4/71;99,36;;;
3/5/71;99,36;;;
3/8/71;99,36;;;
3/9/71;99,36;;;
3/10/71;101,725;;;
3/11/71;101,725;;;
3/12/71;101,725;;;
3/15/71;101,725;;;
3/16/71;101,725;;;
3/17/71;103,101;;;
3/18/71;103,101;;;
3/19/71;103,101;;;
3/22/71;103,101;;;
3/23/71;103,101;;;
3/24/71;102,325;;;
3/25/71;102,325;;;
3/26/71;102,325;;;
3/29/71;102,325;;;
3/30/71;102,325;;;
3/31/71;103,407;;;
4/1/71;103,407;;;
4/2/71;103,67;;;
4/5/71;103,67;;;
4/6/71;103,67;;;
4/7/71;103,67;;;
4/8/71;103,67;;;
4/9/71;104,681;;;
4/12/71;104,681;;;
4/13/71;104,681;;;
4/14/71;104,681;;;
4/15/71;104,681;;;
4/16/71;105,634;;;
4/19/71;105,634;;;
4/20/71;105,634;;;
4/21/71;105,634;;;
4/22/71;105,634;;;
4/23/71;106,179;;;
4/26/71;106,179;;;
4/27/71;106,179;;;
4/28/71;106,179;;;
4/29/71;106,179;;;
4/30/71;106,587;;;
5/3/71;106,587;;;
5/4/71;106,587;;;
5/5/71;106,587;;;
5/6/71;105,739;;;
5/7/71;105,803;;;
5/10/71;105,803;;;
5/11/71;105,803;;;
5/12/71;105,803;;;
5/13/71;105,803;;;
5/14/71;105,744;;;
5/17/71;105,744;;;
5/18/71;105,744;;;
5/19/71;105,744;;;
5/20/71;105,744;;;
5/21/71;104,659;;;
5/24/71;104,659;;;
5/25/71;104,659;;;
5/26/71;104,659;;;
5/27/71;104,659;;;
5/28/71;103,849;;;
5/31/71;103,859;;;
6/1/71;103,859;;;
6/2/71;103,859;;;
6/3/71;103,859;;;
6/4/71;105,382;;;
6/7/71;105,382;;;
6/8/71;105,382;;;
6/9/71;105,382;;;
6/10/71;105,382;;;
6/11/71;105,159;;;
6/14/71;105,159;;;
6/15/71;105,159;;;
6/16/71;105,159;;;
6/17/71;105,159;;;
6/18/71;103,996;;;
6/21/71;103,996;;;
6/22/71;103,996;;;
6/23/71;103,996;;;
6/24/71;103,996;;;
6/25/71;103,165;;;
6/28/71;103,165;;;
6/29/71;103,165;;;
6/30/71;104,711;;;
7/1/71;104,711;;;
7/2/71;104,802;;;
7/5/71;104,802;;;
7/6/71;104,802;;;
7/7/71;104,802;;;
7/8/71;104,802;;;
7/9/71;105,737;;;
7/12/71;105,737;;;
7/13/71;105,737;;;
7/14/71;105,737;;;
7/15/71;105,737;;;
7/16/71;105,329;;;
7/19/71;105,329;;;
7/20/71;105,329;;;
7/21/71;105,329;;;
7/22/71;105,329;;;
7/23/71;105,141;;;
7/26/71;105,141;;;
7/27/71;105,141;;;
7/28/71;105,141;;;
7/29/71;105,141;;;
7/30/71;102,836;;;
8/2/71;102,836;;;
8/3/71;102,836;;;
8/4/71;102,836;;;
8/5/71;102,836;;;
8/6/71;101,465;;;
8/9/71;101,465;;;
8/10/71;101,465;;;
8/11/71;101,465;;;
8/12/71;101,465;;;
8/13/71;102,971;;;
8/16/71;102,971;;;
8/17/71;104,938;;;
8/18/71;104,938;;;
8/19/71;104,938;;;
8/20/71;105,719;;;
8/23/71;105,719;;;
8/24/71;105,719;;;
8/25/71;105,719;;;
8/26/71;105,719;;;
8/27/71;105,654;;;
8/30/71;105,654;;;
8/31/71;104,877;;;
9/1/71;104,877;;;
9/2/71;104,877;;;
9/3/71;106,186;;;
9/6/71;106,186;;;
9/7/71;106,186;;;
9/8/71;106,186;;;
9/9/71;106,186;;;
9/10/71;106,031;;;
9/13/71;106,031;;;
9/14/71;106,031;;;
9/15/71;106,031;;;
9/16/71;106,031;;;
9/17/71;105,438;;;
9/20/71;105,438;;;
9/21/71;105,438;;;
9/22/71;105,438;;;
9/23/71;105,438;;;
9/24/71;103,995;;;
9/27/71;103,995;;;
9/28/71;103,995;;;
9/29/71;103,995;;;
9/30/71;103,676;;;
10/1/71;104,171;;;
10/4/71;104,171;;;
10/5/71;104,171;;;
10/6/71;104,171;;;
10/7/71;104,171;;;
10/8/71;104,477;;;
10/11/71;104,477;;;
10/12/71;104,477;;;
10/13/71;104,477;;;
10/14/71;104,477;;;
10/15/71;102,969;;;
10/18/71;102,969;;;
10/19/71;102,969;;;
10/20/71;102,969;;;
10/21/71;102,969;;;
10/22/71;100,776;;;
10/25/71;100,776;;;
10/26/71;100,776;;;
10/27/71;100,776;;;
10/28/71;100,776;;;
10/29/71;99,54;;;
11/1/71;99,54;;;
11/2/71;99,54;;;
11/3/71;99,54;;;
11/4/71;99,54;;;
11/5/71;99,013;;;
11/8/71;99,013;;;
11/9/71;99,013;;;
11/10/71;99,013;;;
11/11/71;99,013;;;
11/12/71;97,548;;;
11/15/71;97,548;;;
11/16/71;97,548;;;
11/17/71;97,548;;;
11/18/71;97,548;;;
11/19/71;97,521;;;
11/22/71;97,521;;;
11/23/71;97,521;;;
11/24/71;97,521;;;
11/25/71;97,521;;;
11/26/71;97,801;;;
11/29/71;97,801;;;
11/30/71;100,176;;;
12/1/71;100,176;;;
12/2/71;100,176;;;
12/3/71;102,863;;;
12/6/71;102,863;;;
12/7/71;102,863;;;
12/8/71;102,863;;;
12/9/71;102,863;;;
